key;fulldate;year;month;month_name;day;day_of_week
20220401;01/04/2022;2022;4;April;1;Friday
20220402;02/04/2022;2022;4;April;2;Saturday
20220403;03/04/2022;2022;4;April;3;Sunday
20220404;04/04/2022;2022;4;April;4;Monday
20220405;05/04/2022;2022;4;April;5;Tuesday
20220406;06/04/2022;2022;4;April;6;Wednesday
20220407;07/04/2022;2022;4;April;7;Thursday
20220408;08/04/2022;2022;4;April;8;Friday
20220409;09/04/2022;2022;4;April;9;Saturday
20220410;10/04/2022;2022;4;April;10;Sunday
20220411;11/04/2022;2022;4;April;11;Monday
20220412;12/04/2022;2022;4;April;12;Tuesday
20220413;13/04/2022;2022;4;April;13;Wednesday
20220414;14/04/2022;2022;4;April;14;Thursday
20220415;15/04/2022;2022;4;April;15;Friday
20220416;16/04/2022;2022;4;April;16;Saturday
20220417;17/04/2022;2022;4;April;17;Sunday
20220418;18/04/2022;2022;4;April;18;Monday
20220419;19/04/2022;2022;4;April;19;Tuesday
20220420;20/04/2022;2022;4;April;20;Wednesday
20220421;21/04/2022;2022;4;April;21;Thursday
20220422;22/04/2022;2022;4;April;22;Friday
20220423;23/04/2022;2022;4;April;23;Saturday
20220424;24/04/2022;2022;4;April;24;Sunday
20220425;25/04/2022;2022;4;April;25;Monday
20220426;26/04/2022;2022;4;April;26;Tuesday
20220427;27/04/2022;2022;4;April;27;Wednesday
20220428;28/04/2022;2022;4;April;28;Thursday
20220429;29/04/2022;2022;4;April;29;Friday
20220430;30/04/2022;2022;4;April;30;Saturday
20220501;01/05/2022;2022;5;May;1;Sunday
20220502;02/05/2022;2022;5;May;2;Monday
20220503;03/05/2022;2022;5;May;3;Tuesday
20220504;04/05/2022;2022;5;May;4;Wednesday
20220505;05/05/2022;2022;5;May;5;Thursday
20220506;06/05/2022;2022;5;May;6;Friday
20220507;07/05/2022;2022;5;May;7;Saturday
20220508;08/05/2022;2022;5;May;8;Sunday
20220509;09/05/2022;2022;5;May;9;Monday
20220510;10/05/2022;2022;5;May;10;Tuesday
20220511;11/05/2022;2022;5;May;11;Wednesday
20220512;12/05/2022;2022;5;May;12;Thursday
20220513;13/05/2022;2022;5;May;13;Friday
20220514;14/05/2022;2022;5;May;14;Saturday
20220515;15/05/2022;2022;5;May;15;Sunday
20220516;16/05/2022;2022;5;May;16;Monday
20220517;17/05/2022;2022;5;May;17;Tuesday
20220518;18/05/2022;2022;5;May;18;Wednesday
20220519;19/05/2022;2022;5;May;19;Thursday
